ID,Data Cadastro,Data,Fluxo,Frequência,Valor,Instituição Financeira,Provedor,Descrição,Parcelamento
18,2021-06-13,2021-11-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
18,2021-06-13,2021-12-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
18,2021-06-13,2022-01-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
18,2021-06-13,2022-02-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
18,2021-06-13,2022-03-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
18,2021-06-13,2022-04-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
18,2021-06-13,2022-05-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
18,2021-06-13,2022-06-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
18,2021-06-13,2022-07-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
18,2021-06-13,2022-08-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
18,2021-06-13,2022-09-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
18,2021-06-13,2022-10-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
18,2021-06-13,2022-11-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
18,2021-06-13,2022-12-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
18,2021-06-13,2023-01-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
18,2021-06-13,2023-02-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
18,2021-06-13,2023-03-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
18,2021-06-13,2023-04-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
18,2021-06-13,2023-05-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
18,2021-06-13,2023-06-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
